#syscall (v5.15.0 2021-11-03),x86,x86_64,x32,arm,aarch64,mips,mips64,mips64n32,parisc,parisc64,ppc,ppc64,riscv64,s390,s390x,sh
fstatfs64,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fsync,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
ftime,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF
ftruncate,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
ftruncate64,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04
futex,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
futex_time64,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04
futimesat,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
getcpu,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
getcwd,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
